Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"C1, C12, C16, C18, C25, C26, C29, C3, C33, C6, C7",0402,11,0.1uF,
"C10, C8, C9",1210,3,47uF,
"C11, C21_5, C21_4, C21_3, C21_2, C21, C23, C27, C28",0603,9,100nF,
C13,0603,1,1uF,
"C14, C15, C17, C4",1210,4,10uF,
"C19, C20",0603,2,33nF,
C2,0603,1,10uF,
C32,0402,1,1uF,
C5,0805,1,220nF,
"D1, D3",D_SOD-123,2,D_Schottky_Small,
"D2, D7, D8, D9",0603,4,"2Vf, 20mA, RED",
D4,Nexperia_CFP3_SOD-123W,1,10V,
D5,Nexperia_CFP3_SOD-123W,1,8.2V,
D6,Nexperia_CFP3_SOD-123W,1,6V,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C Connector,
L1,IND_XAL6060-103MEC,1,"10uH, 27mOhm",
"R1, R13, R15, R7",0402,4,10k,
"R10, R11, R12, R14, R16, R19, R20, R9",0402,8,1k,
R17,0402,1,412,
R18,0402,1,300,
"R2, R3",0402,2,5k1,
"R21, R23",0402,2,2k,
"R22, R24",0402,2,3.3k,
R25,0402,1,200,
R4,0402,1,100k,
R5,0402,1,22.1k,
R6,0402,1,68,
R8,0402,1,5k,
SW1,SW_TS-1088-AR02016,1,RESET,
SW2,SW_TS-1088-AR02016,1,CASE,
SW5,SW_TS-1088-AR02016,1,BOOT,
U1,DDA0008J,1,LMR33630ADDAR,
U2,SOT-666,1,USBLC6-2P6,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U4,DBV0005A_N,1,TLV75730PDBVR,
U5,DQS20_TEX,1,TXS0108ERGYR,
"U6, U7",QFN80P800X800X220-33N,2,MC33926PNB,
