Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",148.620000,-120.040000,0.000000,bottom
"C2","10uF","C_0603_1608Metric",148.650000,-121.300000,0.000000,bottom
"C6","0.1uF","C_0402_1005Metric",131.150000,-128.790000,90.000000,bottom
"C27","100nF","C_0603_1608Metric",128.175000,-76.500000,180.000000,bottom
"C28","100nF","C_0603_1608Metric",125.571351,-61.355026,180.000000,bottom
"C32","1uF","C_0402_1005Metric",146.390000,-120.040000,0.000000,bottom
"D3","D_Schottky_Small","D_SOD-123",127.910000,-128.540000,0.000000,bottom
"D5","8.2V","Nexperia_CFP3_SOD-123W",122.100000,-51.550000,180.000000,bottom
"J1","USB_C Connector","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",133.550000,-134.660000,180.000000,bottom
"R2","5k1","R_0402_1005Metric",135.430000,-125.660000,-90.000000,bottom
"R3","5k1","R_0402_1005Metric",131.680000,-125.645000,-90.000000,bottom
"R9","1k","R_0402_1005Metric",143.150000,-92.050000,-90.000000,bottom
"R10","1k","R_0402_1005Metric",146.650000,-92.150000,-90.000000,bottom
"R11","1k","R_0402_1005Metric",143.150000,-96.600000,-90.000000,bottom
"R12","1k","R_0402_1005Metric",146.650000,-96.800000,-90.000000,bottom
"R13","10k","R_0402_1005Metric",142.381398,-76.408228,90.000000,bottom
"R14","1k","R_0402_1005Metric",143.150000,-87.510000,-90.000000,bottom
"R15","10k","R_0402_1005Metric",144.310000,-52.900000,180.000000,bottom
"R16","1k","R_0402_1005Metric",146.650000,-87.300000,-90.000000,bottom
"R19","1k","R_0402_1005Metric",143.200000,-82.660000,-90.000000,bottom
"R20","1k","R_0402_1005Metric",146.650000,-82.700000,-90.000000,bottom
"U2","USBLC6-2P6","SOT-666",133.550000,-125.650000,-90.000000,bottom
"U3","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",144.150000,-109.750000,90.000000,bottom
"","","",115.200000,-112.700000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",125.105001,-105.210001,180.000000,top
"C4","10uF","C_1210_3225Metric",122.205000,-93.110000,0.000000,top
"C5","220nF","C_0805_2012Metric",124.405000,-95.935000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",125.120000,-131.650000,0.000000,top
"C8","47uF","C_1210_3225Metric",126.905000,-89.685000,0.000000,top
"C9","47uF","C_1210_3225Metric",126.917812,-93.129793,0.000000,top
"C10","47uF","C_1210_3225Metric",126.905000,-86.310000,0.000000,top
"C11","100nF","C_0603_1608Metric",127.580000,-95.935000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",120.220000,-131.650000,0.000000,top
"C13","1uF","C_0603_1608Metric",123.005001,-106.185001,-90.000000,top
"C14","10uF","C_1210_3225Metric",125.554999,-117.870001,0.000000,top
"C15","10uF","C_1210_3225Metric",125.524999,-110.920001,180.000000,top
"C16","0.1uF","C_0402_1005Metric",138.970000,-125.260000,-90.000000,top
"C17","10uF","C_1210_3225Metric",148.370000,-125.855000,-90.000000,top
"C18","0.1uF","C_0402_1005Metric",115.120000,-131.600000,180.000000,top
"C19","33nF","C_0603_1608Metric",126.100000,-66.600000,0.000000,top
"C20","33nF","C_0603_1608Metric",127.625000,-52.000000,0.000000,top
"C21","100nF","C_0603_1608Metric",126.775000,-71.875000,-90.000000,top
"C21","100nF","C_0603_1608Metric",129.345000,-62.470000,180.000000,top
"C21","100nF","C_0603_1608Metric",130.215000,-77.060000,-90.000000,top
"C21","100nF","C_0603_1608Metric",130.060000,-50.875000,90.000000,top
"C21","100nF","C_0603_1608Metric",126.900000,-57.975000,-90.000000,top
"C23","100nF","C_0603_1608Metric",129.425000,-65.700000,180.000000,top
"C25","0.1uF","C_0402_1005Metric",140.060000,-68.925000,90.000000,top
